순번,사업장명,인허가일자,영업상태명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,위생업태명,업데이트
51,그늘집,2018-05-08,영업/정상,055-635-5439,경상남도 거제시 장목면 장목리 325-29번지 1층,"경상남도 거제시 장목면 거제북로 1212, 1층",53201,한식,한식
52,시청우동,2018-05-08,영업/정상,070-8802-7858,경상남도 거제시 고현동 721-18 1층,"경상남도 거제시 계룡로 132, 1층 (고현동)",53256,분식,분식
53,영희네,2018-05-09,영업/정상,010-8661-6328,경남 거제시 고현동 961-120,경남 거제시 거제중앙로23길 14,53316,한식,한식
54,골목길,2018-05-09,영업/정상,,경상남도 거제시 고현동 1007-9,"경상남도 거제시 중곡로1길 42-2, 1층 (고현동)",53249,호프/통닭,호프/통닭
55,콩심 고현점,2018-05-10,영업/정상,055-634-1090,경상남도 거제시 고현동 98-8,"경상남도 거제시 고현로 98-1, 1층 (고현동)",53254,한식,한식
56,시골집,2018-05-14,영업/정상,055 633 4487,경상남도 거제시 고현동 995,"경상남도 거제시 중곡2로4길 7-6, 1층 (고현동)",53249,한식,한식
57,천지양꼬치,2018-05-15,영업/정상,0507-1469-7360,경상남도 거제시 아주동 1694-7 1층 2동,"경상남도 거제시 아주1로1길 49, 2동 1층 (아주동)",53305,식육(숯불구이),식육(숯불구이)
58,제주스 디큐브거제점,2018-05-16,영업/정상,070-7723-1335,"경상남도 거제시 장평동 1211 디큐브백화점, 6층","경상남도 거제시 장평로 12, 디큐브백화점 6층 (장평동)",53267,기타,기타
59,바른분식,2018-05-17,영업/정상,,경상남도 거제시 거제면 서정리 728-2 1~2층,"경상남도 거제시 거제면 읍내로13길 3, 1~2층",53285,분식,분식
60,향옥,2018-05-18,영업/정상,010-2365-2294,경상남도 거제시 고현동 517-2 1층,"경상남도 거제시 동문천로 3, 1층 (고현동)",53256,횟집,횟집
61,오후여담,2018-05-21,영업/정상,0507-1304-9690,경상남도 거제시 능포동 564-20번지 1층,"경상남도 거제시 능포로15길 19, 1층 (능포동)",53312,기타,기타
62,멕시카나치킨 거제남부점,2018-05-21,영업/정상,055-636-1135,경상남도 거제시 남부면 저구리 89-4 1층,"경상남도 거제시 남부면 저구2길 7, 1층",53333,호프/통닭,호프/통닭
63,문어랑,2018-05-23,영업/정상,0507-1303-6216,경상남도 거제시 일운면 옥림리 307 1층,"경상남도 거제시 일운면 옥림길 123, 1층",53326,한식,한식
64,바다양푼이동태탕.찜. 동부점,2018-05-25,영업/정상,055-636-0531,경상남도 거제시 동부면 산촌리 276-1,"경상남도 거제시 동부면 거제남서로 3180, 1동 1층",53331,한식,한식
65,숙이네,2018-05-28,영업/정상,,경상남도 거제시 동부면 산양리 398-4번지 1층,"경상남도 거제시 동부면 거제남서로 3090, 1층",53331,한식,한식
66,60계 상문점,2018-05-29,영업/정상,055-636-1160,경상남도 거제시 문동동 756 거제 센트럴 푸르지오 301동 302~3호,"경상남도 거제시 문동1길 42, 301동 302~303호 (문동동, 거제 센트럴 푸르지오)",53298,호프/통닭,호프/통닭
67,삼막,2018-05-31,영업/정상,055-687-2548,경상남도 거제시 옥포동 398-2번지 1층,"경상남도 거제시 옥포성안로 45, 1층 (옥포동)",53229,한식,한식
68,기용 거제점,2018-06-05,영업/정상,0507-1349-4547,경상남도 거제시 일운면 소동리 518-3 1층,"경상남도 거제시 일운면 거제대로 2577, 1층",53327,분식,분식
69,지세포 고기맛집 참숯갈비,2018-06-05,영업/정상,0507-1437-4548,경상남도 거제시 일운면 소동리 518-3,"경상남도 거제시 일운면 거제대로 2577, 2층",53327,식육(숯불구이),식육(숯불구이)
70,거제도 샤브집,2018-06-12,영업/정상,0507-1492-1428,경상남도 거제시 상동동 925-3,"경상남도 거제시 상동5길 115, 1동 2층 (상동동)",53292,한식,한식
71,신머이 쌀국수,2018-06-14,영업/정상,0507-1498-5009,경상남도 거제시 상동동 201-4,"경상남도 거제시 상동5길 39, 1층 102호 (상동동)",53294,일식,일식
72,그때그시절,2018-06-15,영업/정상,0507-1358-6199,경상남도 거제시 옥포동 873-1번지 유통시장,"경상남도 거제시 성산로 13, 유통시장 D-36호 (옥포동)",53220,기타,기타
73,카페도은,2018-06-19,영업/정상,055-682-1874,경상남도 거제시 일운면 지세포리 416-9 2층,"경상남도 거제시 일운면 지세포해안로 154, 2층",53328,기타,기타
74,교촌치킨 상문점,2018-06-19,영업/정상,055-637-1990,경상남도 거제시 상동동 913-2,"경상남도 거제시 상동5길 82, 1층 (상동동)",53292,호프/통닭,호프/통닭
75,해야달아,2018-06-19,영업/정상,055-637-5379,경상남도 거제시 수월동 1043-275,"경상남도 거제시 수양로 454-20, 1층 (수월동)",53237,식육(숯불구이),식육(숯불구이)
76,삼구옛날통닭 한내점,2018-06-20,영업/정상,055-633-3877,경상남도 거제시 연초면 한내리 615-5,"경상남도 거제시 연초면 연하해안로 840, 1층",53206,호프/통닭,호프/통닭
77,평안식당,2018-06-21,영업/정상,055-638-3889,경상남도 거제시 장목면 장목리 231-13 1층,"경상남도 거제시 장목면 옥포대첩로 1598, 1층",53201,한식,한식
78,장목포차,2018-06-21,영업/정상,,경상남도 거제시 장목면 장목리 304-1 2?,"경상남도 거제시 장목면 거제북로 1182, 2층",53201,정종/대포집/소주방,정종/대포집/소주방
79,큰집,2018-06-22,영업/정상,0507-1498-1091,경상남도 거제시 동부면 산촌리 276-1,"경상남도 거제시 동부면 거제남서로 3180, 2동 1층",53331,한식,한식
80,혜화동돈까스극장 거제수월점,2018-06-25,영업/정상,055-633-0225,경상남도 거제시 양정동 960-3,"경상남도 거제시 수양로 484, 1층 105호 (양정동)",53236,경양식,경양식
81,첨단돌솥감자탕 옥포점,2018-06-26,영업/정상,055-687-1231,경상남도 거제시 옥포동 1969번지,"경상남도 거제시 옥포로4길 7, 1층 (옥포동)",53231,한식,한식
82,비치,2018-06-26,영업/정상,010-4211-6011,경상남도 거제시 일운면 와현리 383-8번지,"경상남도 거제시 일운면 와현해변길 4, 1층",53329,기타,기타
83,매미촌국수,2018-06-26,영업/정상,055 632 1451,경상남도 거제시 장목면 대금리 283,"경상남도 거제시 장목면 복항길 15, 1층",53202,분식,분식
84,도야카페,2018-06-27,영업/정상,010-6844-8587,경상남도 거제시 동부면 학동리 291-7 1층,"경상남도 거제시 동부면 학동6길 10-1, 1층",53332,기타,기타
85,해뜨는집,2018-07-02,영업/정상,0507-1473-0082,경상남도 거제시 일운면 지세포리 374-5번지 1~2층,"경상남도 거제시 일운면 지세포해안로 182, 1~2층",53328,식육(숯불구이),식육(숯불구이)
86,동근이숯불두마리치킨,2018-07-10,영업/정상,0507-1438-3517,경상남도 거제시 고현동 123-6,"경상남도 거제시 거제중앙로 1859, 1층 (고현동)",53254,한식,한식
87,어부횟집,2018-07-11,영업/정상,055-635-8689,경상남도 거제시 장목면 송진포리 51,"경상남도 거제시 장목면 거제북로 2594, 2층",53200,횟집,횟집
88,착한뷔페식당,2018-07-20,영업/정상,055-636-2690,경상남도 거제시 고현동 961-58번지 신세계사우나,"경상남도 거제시 고현천로 28, 신세계사우나 1층 102호 (고현동)",53251,한식,한식
89,조개캉스 거제,2018-07-27,영업/정상,0507-1465-7829,경상남도 거제시 일운면 지세포리 416-9,"경상남도 거제시 일운면 지세포해안로 154, 1층",53328,횟집,횟집
90,사곡 스크린 골프 연습장,2018-07-27,영업/정상,055-637-7500,경상남도 거제시 사등면 사곡리 897 4층 제2동,"경상남도 거제시 사등면 거제대로 5279, 제2동 4층",53278,한식,한식
91,천수추어탕,2018-07-31,영업/정상,055 636 2741,경상남도 거제시 하청면 유계리 1122번지,"경상남도 거제시 하청면 연하해안로 1448, 1층",53205,한식,한식
92,반여사의반하다,2018-08-02,영업/정상,070-8888-4977,경상남도 거제시 장목면 송진포리 121-11번지,"경상남도 거제시 장목면 거제북로 2633-15, 궁농다기능해양시설 2층",53200,한식,한식
93,거제육전·육회본가한우물,2018-08-03,영업/정상,055-634-2241,경상남도 거제시 고현동 961-87번지,"경상남도 거제시 거제중앙로24길 9-1, 1층 (고현동)",53251,한식,한식
94,봉이김밥,2018-08-06,영업/정상,0507-1328-0407,경상남도 거제시 사등면 사곡리 871-1번지 지하1층,"경상남도 거제시 사등면 두동로 28-6, 지하1층",53278,분식,분식
95,대게마을 거제일품물회 본점,2018-08-06,영업/정상,055-682-1515,경상남도 거제시 일운면 지세포리 772-5 1~2층,"경상남도 거제시 일운면 지세포해안로 74, 1~2층",53328,횟집,횟집
96,홍콩반점0410 거제아주점,2018-08-07,영업/정상,0507-1336-0410,경상남도 거제시 아주동 1685-6번지,"경상남도 거제시 아주1로2길 57, 1층 (아주동)",53305,중국식,중국식
97,여기상동포차,2018-08-10,영업/정상,0507-1388-3031,경상남도 거제시 상동동 213-8 1층,"경상남도 거제시 상동5길 8, 1층 (상동동)",53294,정종/대포집/소주방,정종/대포집/소주방
98,무한리필화(火)난할매고기 본점,2018-08-20,영업/정상,055-635-6809,경상남도 거제시 고현동 827-2,"경상남도 거제시 거제중앙로23길 24, 지하1층 (고현동)",53253,식육(숯불구이),식육(숯불구이)
99,덕담골황칠유황오리,2018-08-22,영업/정상,0507-1345-5292,경상남도 거제시 연초면 오비리 81-1,"경상남도 거제시 연초면 소오비1길 40, 1층",53208,한식,한식
100,모티,2018-08-24,영업/정상,010-4449-4863,경상남도 거제시 옥포동 545-46,"경상남도 거제시 옥포대첩로2길 33, 1층 (옥포동)",53228,한식,한식
101,둔덕농협한우관,2018-08-28,영업/정상,055-639-7015,경상남도 거제시 둔덕면 하둔리 64,"경상남도 거제시 둔덕면 거제남서로 4580, 2층",53281,한식,한식
102,산봉쌈밥 거제3호점,2018-08-28,영업/정상,0507-1362-6181,경상남도 거제시 장승포동 286-5,"경상남도 거제시 신부로3길 26, 1층 (장승포동)",53320,한식,한식
103,도로시,2018-09-03,영업/정상,0507-1364-7134,경상남도 거제시 고현동 978-10 고현동주상복합아파트,"경상남도 거제시 거제중앙로 1930-10, 1층 102호 (고현동, 고현동주상복합아파트)",53251,호프/통닭,호프/통닭
105,갈비만 고현점,2018-09-07,영업/정상,055-635-1119,경상남도 거제시 고현동 967-21 경복궁,"경상남도 거제시 거제중앙로31길 22, 경복궁 1,2층 (고현동)",53252,식육(숯불구이),식육(숯불구이)
106,정담,2018-09-07,영업/정상,0507-1465-3633,경상남도 거제시 문동동 24-4 2층,"경상남도 거제시 문동폭포길 107, 2층 (문동동)",53297,한식,한식
107,마마카카,2018-09-10,영업/정상,0507-1323-0516,"경상남도 거제시 고현동 37-11 101,102,10호","경상남도 거제시 고현로 116-1, 1층 101,102,106호 (고현동)",53255,한식,한식
108,이찌,2018-09-10,영업/정상,055-632-8592,경상남도 거제시 상동동 915-1,"경상남도 거제시 상동5길 89, 주1동 1층 (상동동)",53292,한식,한식
110,부산통닭,2018-09-17,영업/정상,0507-1406-9323,경상남도 거제시 상동동 915-1,"경상남도 거제시 상동5길 89, 주1동 1층 (상동동)",53292,호프/통닭,호프/통닭
111,바운스트램폴린파크 거제센터,2018-09-19,영업/정상,055 635 0150,"경상남도 거제시 장목면 농소리 25번지 한화리조트 거제 벨버디어, 지하1층","경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하1층",53200,기타,기타
112,카페오솔길,2018-09-19,영업/정상,055 6350887,경상남도 거제시 장목면 장목리 384,"경상남도 거제시 장목면 시루성길 41-11, 주건축물제1동 2층",53201,기타,기타
113,치치더테라스,2018-09-19,영업/정상,055 9514213,경상남도 거제시 장목면 농소리 32-5,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하5층",53200,경양식,경양식
114,오스테리아사르데냐,2018-09-19,영업/정상,055 9514211,경상남도 거제시 장목면 농소리 32-5 한화리조트 거제 벨버디어,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하2층",53200,경양식,경양식
115,윤식당,2018-09-20,영업/정상,055 6376340,경상남도 거제시 거제면 서정리 767,"경상남도 거제시 거제면 기성로2길 20, 1층",53286,한식,한식
116,엘플로어,2018-09-20,영업/정상,50714264113,경상남도 거제시 장목면 농소리 25,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 16,17층",53200,기타,기타
117,부경불백,2018-09-21,영업/정상,,경상남도 거제시 장목면 농소리 25 한화리조트 거제 벨버디어,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하1층",53200,식육(숯불구이),식육(숯불구이)
118,영남수정원대접,2018-09-21,영업/정상,,경상남도 거제시 장목면 농소리 25 한화리조트 거제 벨버디어,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하1층",53200,식육(숯불구이),식육(숯불구이)
119,이가네떡볶이 거제점,2018-09-21,영업/정상,055 9514200,경상남도 거제시 장목면 농소리 25 한화리조트 거제 벨버디어,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하1층",53200,한식,한식
120,통영불곰,2018-09-21,영업/정상,055 9514203,"경상남도 거제시 장목면 농소리 25 한화리조트 거제 벨버디어, 지하1층","경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하1층",53200,일식,일식
121,고메밀면,2018-09-21,영업/정상,055 9514206,경상남도 거제시 장목면 농소리 25,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하1층",53200,한식,한식
122,수수하지만 굉장해! 벨버디어점,2018-09-21,영업/정상,50713603963,경상남도 거제시 장목면 농소리 25,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하1층",53200,분식,분식
123,수복돼지국밥,2018-09-21,영업/정상,055 9514205,경상남도 거제시 장목면 농소리 25 지하1층,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트 거제 벨버디어 지하1층",53200,한식,한식
124,만선호해물칼국수,2018-10-01,영업/정상,055 636 0066,경상남도 거제시 연초면 오비리 213-7,"경상남도 거제시 연초면 연하해안로 344, 1동 2층",53208,한식,한식
125,스트라이크,2018-10-04,영업/정상,,경상남도 거제시 고현동 961-58번지 신세계사우나,"경상남도 거제시 고현천로 28, 신세계사우나 2층 (고현동)",53251,기타,기타
142,반하나,2018-10-08,영업/정상,,경상남도 거제시 고현동 968-3 1~2층 주4동,"경상남도 거제시 거제중앙로31길 19, 주4동 1~2층 (고현동)",53252,분식,분식
143,스쿨존,2018-10-08,영업/정상,055 6339002,경상남도 거제시 고현동 1069 대동피렌체아파트,"경상남도 거제시 중곡로2길 56-1, 대동피렌체아파트 106동 1층 103호 (고현동)",53248,분식,분식
144,바다카페,2018-10-11,영업/정상,,경상남도 거제시 장목면 장목리 305-3,"경상남도 거제시 장목면 장목7길 12-1, 2층",53201,기타,기타
145,가마치통닭(중곡점),2018-10-12,영업/정상,,경상남도 거제시 고현동 1039 덕산베스트타운 20동 117호,"경상남도 거제시 중곡로 40, 덕산베스트타운 20동 1층 117호 (고현동)",53246,호프/통닭,호프/통닭
146,루셀로,2018-10-15,영업/정상,055 681 2031,경상남도 거제시 일운면 망치리 35번지,"경상남도 거제시 일운면 거제대로 1861, 1층",53329,경양식,경양식
147,초록당,2018-10-17,영업/정상,055 635 0708,경상남도 거제시 고현동 999-8 1층,"경상남도 거제시 중곡로3길 20-4, 1층 (고현동)",53249,정종/대포집/소주방,정종/대포집/소주방
148,60계 거제수월점,2018-10-18,영업/정상,055 635 2060,경상남도 거제시 양정동 902-14,"경상남도 거제시 제산로 46, 1층 (양정동)",53243,호프/통닭,호프/통닭
149,200장돈까스 옥포점,2018-10-22,영업/정상,055 688 1799,경상남도 거제시 옥포동 519-13,"경상남도 거제시 옥포대첩로5길 15, 1층 (옥포동)",53222,한식,한식
150,스시여행,2018-10-24,영업/정상,7088708098,경상남도 거제시 상동동 144-3,"경상남도 거제시 거제중앙로 1629, 1층 (상동동)",53294,일식,일식
151,모아(MOA)카페뽕뜨락피자,2018-10-24,영업/정상,,경상남도 거제시 연초면 죽토리 324,"경상남도 거제시 연초면 거제북로 26, 1층",53212,기타,기타
152,예이제게장백반 2호,2018-10-26,영업/정상,055 681 1445,경상남도 거제시 장승포동 537-2번지 2층,"경상남도 거제시 장승로 101-1, 2층 (장승포동)",53322,한식,한식
153,장승(예이제),2018-10-26,영업/정상,055 682 1450,경상남도 거제시 장승포동 537-2,"경상남도 거제시 장승로 101-1, 3층 (장승포동)",53322,한식,한식
154,홍여사네밥상,2018-10-29,영업/정상,055 6369996,경상남도 거제시 고현동 628-1,"경상남도 거제시 계룡로 150, 1층 (고현동)",53256,한식,한식
155,삼척집 중곡점,2018-11-01,영업/정상,50713105545,경상남도 거제시 고현동 998-7,"경상남도 거제시 중곡2로6길 16, 1층 (고현동)",53249,정종/대포집/소주방,정종/대포집/소주방
156,폴리스낙지,2018-11-01,영업/정상,055 6818600,경상남도 거제시 장승포동 283-17 1층,"경상남도 거제시 신부로1길 12, 1층 (장승포동)",53320,한식,한식
157,정돈,2018-11-06,영업/정상,055 6376885,경상남도 거제시 장평동 1195-24,"경상남도 거제시 장평1로7길 37, 1층 (장평동)",53267,한식,한식
158,맛있는집,2018-11-12,영업/정상,,경상남도 거제시 옥포동 529-5번지 1층,"경상남도 거제시 옥포대첩로 21-2, 1층 (옥포동)",53223,분식,분식
159,나리네 김밥분식당,2018-11-12,영업/정상,,경상남도 거제시 장목면 장목리 305-5,경상남도 거제시 장목면 거제북로 1191,53201,분식,분식
160,배달클라쓰 아주점,2018-11-13,영업/정상,,경상남도 거제시 아주동 235-2,"경상남도 거제시 거제대로 3415, 1층 (아주동)",53304,한식,한식
161,장터국밥,2018-11-13,영업/정상,055 6333635,경상남도 거제시 거제면 서상리 317,"경상남도 거제시 거제면 기성로6길 6-1, 거제면 시장 1층 103호",53286,한식,한식
